origin,destination,carrier,class,points
Central & Southern Africa,Southern South America,United Airlines,economy,35000
Central & Southern Africa,Southern South America,United Airlines,first,92500
Central & Southern Africa,Europe,United Airlines,economy,30000
Central & Southern Africa,Europe,United Airlines,first,45000
Central & Southern Africa,Middle East,United Airlines,economy,30000
Central & Southern Africa,Middle East,United Airlines,first,45000
Central & Southern Africa,Northern Africa,United Airlines,economy,20000
Central & Southern Africa,Northern Africa,United Airlines,first,35000
Central & Southern Africa,Central & Southern Africa,United Airlines,economy,8000
Central & Southern Africa,Central & Southern Africa,United Airlines,first,30000
Central & Southern Africa,North Asia,United Airlines,economy,50000
Central & Southern Africa,North Asia,United Airlines,first,75000
Central & Southern Africa,Central Asia,United Airlines,economy,35000
Central & Southern Africa,Central Asia,United Airlines,first,50000
Central & Southern Africa,South Asia,United Airlines,economy,45000
Central & Southern Africa,South Asia,United Airlines,first,85000
Central & Southern Africa,Japan,United Airlines,economy,50000
Central & Southern Africa,Japan,United Airlines,first,75000
Central & Southern Africa,Oceania,United Airlines,economy,50000
Central & Southern Africa,Oceania,United Airlines,first,75000
North Asia,North America,United Airlines,economy,35000
North Asia,North America,United Airlines,first,70000
North Asia,Mexico,United Airlines,economy,37500
North Asia,Mexico,United Airlines,first,75000
North Asia,Caribbean,United Airlines,economy,37500
North Asia,Caribbean,United Airlines,first,75000
North Asia,Central America,United Airlines,economy,37500
North Asia,Central America,United Airlines,first,75000
North Asia,Northern South America,United Airlines,economy,45000
North Asia,Northern South America,United Airlines,first,75000
North Asia,Southern South America,United Airlines,economy,55000
North Asia,Southern South America,United Airlines,first,75000
North Asia,Europe,United Airlines,economy,45000
North Asia,Europe,United Airlines,first,65000
North Asia,Middle East,United Airlines,economy,40000
North Asia,Middle East,United Airlines,first,55000
North Asia,Northern Africa,United Airlines,economy,45000
North Asia,Northern Africa,United Airlines,first,65000
North Asia,Central & Southern Africa,United Airlines,economy,50000
North Asia,Central & Southern Africa,United Airlines,first,75000
North Asia,North Asia,United Airlines,economy,8000
North Asia,North Asia,United Airlines,first,22500
North Asia,Central Asia,United Airlines,economy,25000
North Asia,Central Asia,United Airlines,first,45000
North Asia,South Asia,United Airlines,economy,20000
North Asia,South Asia,United Airlines,first,35000
North Asia,Japan,United Airlines,economy,8000
North Asia,Japan,United Airlines,first,25000
North Asia,Oceania,United Airlines,economy,30000
North Asia,Oceania,United Airlines,first,45000
Central Asia,North America,United Airlines,economy,42500
Central Asia,North America,United Airlines,first,75000
Central Asia,Mexico,United Airlines,economy,50000
Central Asia,Mexico,United Airlines,first,80000
Central Asia,Caribbean,United Airlines,economy,50000
Central Asia,Caribbean,United Airlines,first,80000
Central Asia,Central America,United Airlines,economy,50000
Central Asia,Central America,United Airlines,first,80000
Central Asia,Northern South America,United Airlines,economy,55000
Central Asia,Northern South America,United Airlines,first,80000
Central Asia,Southern South America,United Airlines,economy,65000
Central Asia,Southern South America,United Airlines,first,85000
Central Asia,Europe,United Airlines,economy,30000
Central Asia,Europe,United Airlines,first,45000
Central Asia,Middle East,United Airlines,economy,22500
Central Asia,Middle East,United Airlines,first,35000
Central Asia,Northern Africa,United Airlines,economy,30000
Central Asia,Northern Africa,United Airlines,first,45000
Central Asia,Central & Southern Africa,United Airlines,economy,35000
Central Asia,Central & Southern Africa,United Airlines,first,50000
Central Asia,North Asia,United Airlines,economy,25000
Central Asia,North Asia,United Airlines,first,45000
Central Asia,Central Asia,United Airlines,economy,8000
Central Asia,Central Asia,United Airlines,first,35000
Central Asia,South Asia,United Airlines,economy,25000
Central Asia,South Asia,United Airlines,first,40000
Central Asia,Japan,United Airlines,economy,25000
Central Asia,Japan,United Airlines,first,45000
Central Asia,Oceania,United Airlines,economy,40000
Central Asia,Oceania,United Airlines,first,60000
South Asia,North America,United Airlines,economy,40000
South Asia,North America,United Airlines,first,75000
South Asia,Mexico,United Airlines,economy,45000
South Asia,Mexico,United Airlines,first,85000
South Asia,Caribbean,United Airlines,economy,45000
South Asia,Caribbean,United Airlines,first,85000
South Asia,Central America,United Airlines,economy,45000
South Asia,Central America,United Airlines,first,85000
South Asia,Northern South America,United Airlines,economy,50000
South Asia,Northern South America,United Airlines,first,85000
South Asia,Southern South America,United Airlines,economy,55000
South Asia,Southern South America,United Airlines,first,85000
South Asia,Europe,United Airlines,economy,45000
South Asia,Europe,United Airlines,first,85000
South Asia,Middle East,United Airlines,economy,35000
South Asia,Middle East,United Airlines,first,50000
South Asia,Northern Africa,United Airlines,economy,45000
South Asia,Northern Africa,United Airlines,first,85000
South Asia,Central & Southern Africa,United Airlines,economy,45000
South Asia,Central & Southern Africa,United Airlines,first,85000
South Asia,North Asia,United Airlines,economy,20000
South Asia,North Asia,United Airlines,first,35000
South Asia,Central Asia,United Airlines,economy,25000
South Asia,Central Asia,United Airlines,first,40000
South Asia,South Asia,United Airlines,economy,8000
South Asia,South Asia,United Airlines,first,25000
South Asia,Japan,United Airlines,economy,20000
South Asia,Japan,United Airlines,first,35000
South Asia,Oceania,United Airlines,economy,25000
South Asia,Oceania,United Airlines,first,40000
Japan,North America,United Airlines,economy,35000
Japan,North America,United Airlines,first,70000
Japan,Mexico,United Airlines,economy,37500
Japan,Mexico,United Airlines,first,75000
Japan,Caribbean,United Airlines,economy,37500
Japan,Caribbean,United Airlines,first,75000
Japan,Central America,United Airlines,economy,37500
Japan,Central America,United Airlines,first,75000
Japan,Northern South America,United Airlines,economy,45000
Japan,Northern South America,United Airlines,first,75000
Japan,Southern South America,United Airlines,economy,55000
Japan,Southern South America,United Airlines,first,75000
Japan,Europe,United Airlines,economy,45000
Japan,Europe,United Airlines,first,65000
Japan,Middle East,United Airlines,economy,40000
Japan,Middle East,United Airlines,first,55000
Japan,Northern Africa,United Airlines,economy,45000
Japan,Northern Africa,United Airlines,first,65000
Japan,Central & Southern Africa,United Airlines,economy,50000
Japan,Central & Southern Africa,United Airlines,first,75000
Japan,North Asia,United Airlines,economy,8000
Japan,North Asia,United Airlines,first,25000
Japan,Central Asia,United Airlines,economy,25000
Japan,Central Asia,United Airlines,first,45000
Japan,South Asia,United Airlines,economy,20000
Japan,South Asia,United Airlines,first,35000
Japan,Japan,United Airlines,economy,5000
Japan,Japan,United Airlines,first,12000
Japan,Oceania,United Airlines,economy,30000
Japan,Oceania,United Airlines,first,45000
Oceania,North America,United Airlines,economy,40000
Oceania,North America,United Airlines,first,80000
Oceania,Mexico,United Airlines,economy,45000
